0.40	-42.59	-16.00
0.80	-40.85	-15.00
1.20	-8.20	-12.00
1.60	-1.48	-6.00
2.00	-53.41	-33.00
2.40	-4.75	-9.00
2.80	4.11	9.00
3.20	4.26	9.00
3.60	4.53	6.00
4.00	-2.72	0.00
4.40	-26.66	-9.00
4.80	-29.48	-11.00
5.20	-37.02	-16.00
5.60	-47.36	-22.00
6.00	-44.31	-21.00
6.40	-38.50	-18.00
6.80	-38.61	-17.00
7.20	-12.52	-4.00
7.60	21.64	10.00
8.00	29.49	13.00
8.40	26.24	10.00
8.80	23.01	10.00
9.20	35.29	15.00
9.60	40.65	18.00
10.00	37.00	17.00
10.40	37.17	16.00
10.80	39.26	16.00
11.20	29.12	12.00
11.60	19.42	9.00
12.00	20.41	10.00
12.40	19.42	9.00
12.80	15.83	7.00
13.20	-18.22	-6.00
13.60	-21.85	-7.00
14.00	-28.93	-10.00
14.40	-33.42	-13.00
14.80	-44.75	-20.00
15.20	-57.17	-36.00
15.60	-59.60	-42.00
16.00	-62.39	-42.00
16.40	-67.36	-43.00
16.80	-69.63	-41.00
17.20	-70.43	-39.00
17.60	-58.46	-29.00
18.00	-42.21	-17.00
18.40	-39.02	-14.00
18.80	-44.78	-16.00
19.20	-48.01	-15.00
19.60	-43.53	-14.00
20.00	-23.59	-6.00
20.40	-58.98	-16.00
20.80	-7.73	-1.00
21.20	53.54	24.00
21.60	24.04	26.00
22.00	12.74	14.00
22.40	15.31	18.00
22.80	37.36	15.00
23.20	45.09	18.00
23.60	19.79	7.00
24.00	9.54	4.00
24.40	-2.90	0.00
24.80	4.78	9.00
25.20	5.20	18.00
25.60	4.81	36.00
26.00	13.61	28.00
26.40	41.07	17.00
26.80	46.71	19.00
27.20	52.32	23.00
27.60	14.56	34.00
28.00	4.38	31.00
28.40	6.62	32.00
28.80	5.18	27.00
29.20	5.92	24.00
29.60	11.17	8.00
30.00	-5.59	-1.00
30.40	50.42	25.00
30.80	51.56	26.00
31.20	21.04	8.00
31.60	3.82	2.00
32.00	-31.70	-8.00
32.40	-32.56	-10.00
32.80	-30.64	-10.00
33.20	-28.93	-10.00
33.60	-2.72	0.00
34.00	-8.44	-2.00
34.40	8.10	4.00
34.80	-14.00	-4.00
35.20	-14.90	-4.00
35.60	24.62	8.00
36.00	35.49	12.00
36.40	18.29	7.00
36.80	-34.73	-10.00
37.20	-37.11	-12.00
37.60	-39.40	-12.00
38.00	-47.00	-13.00
38.40	-50.19	-13.00
38.80	-50.19	-13.00
39.20	-48.03	-12.00
39.60	-48.03	-12.00
40.00	-51.39	-17.00
40.40	-50.01	-21.00
40.80	-50.85	-25.00
41.20	-57.35	-32.00
41.60	-10.44	-24.00
42.00	1000.00	1000.00
42.40	0.50	4.00
42.80	-2.66	-10.00
43.20	-62.00	-49.00
43.60	-69.24	-51.00
44.00	-50.45	-47.00
44.40	-50.84	-46.00
44.80	-76.36	-46.00
45.20	-5.27	-7.00
45.60	3.02	3.00
46.00	35.35	14.00
46.40	33.13	12.00
46.80	30.71	11.00
47.20	30.71	11.00
47.60	37.58	14.00
48.00	48.77	22.00
48.40	47.97	23.00
48.80	31.27	13.00
49.20	38.95	17.00
49.60	48.88	27.00
50.00	54.62	37.00
50.40	52.97	33.00
50.80	55.31	40.00
51.20	54.62	37.00
51.60	54.62	37.00
52.00	51.38	33.00
52.40	49.24	29.00
52.80	39.95	20.00
53.20	31.86	16.00
53.60	22.47	11.00
54.00	14.81	7.00
54.40	14.81	7.00
54.80	14.81	7.00
55.20	16.12	8.00
55.60	22.47	11.00
56.00	17.14	8.00
56.40	26.87	11.00
56.80	38.95	17.00
57.20	37.17	16.00
57.60	20.69	9.00
58.00	33.24	13.00
58.40	56.61	16.00
58.80	42.76	10.00
0.40	-68.46	-42.00
0.80	-68.46	-42.00
1.20	-68.91	-43.00
1.60	-69.48	-48.00
2.00	1000.00	1000.00
2.40	1000.00	1000.00
2.80	1000.00	1000.00
3.20	0.07	1.00
3.60	17.71	30.00
4.00	2.38	13.00
4.40	-0.57	-4.00
4.80	-0.32	-2.00
5.20	0.96	7.00
5.60	-0.55	-3.00
6.00	-1.80	-12.00
6.40	-2.44	-15.00
6.80	-8.33	-18.00
7.20	-58.13	-33.00
7.60	-60.86	-32.00
8.00	-39.27	-36.00
8.40	-20.19	-32.00
8.80	-64.44	-46.00
9.20	-56.49	-33.00
9.60	-49.74	-24.00
10.00	-47.28	-19.00
10.40	-41.17	-14.00
10.80	13.30	6.00
11.20	42.78	18.00
11.60	45.09	18.00
12.00	37.36	15.00
12.40	29.12	12.00
12.80	35.42	13.00
13.20	33.24	13.00
13.60	35.29	15.00
14.00	31.69	15.00
14.40	26.42	13.00
14.80	26.42	13.00
15.20	26.87	11.00
15.60	33.13	12.00
16.00	21.04	8.00
16.40	14.31	6.00
16.80	8.10	4.00
17.20	-25.22	-9.00
17.60	-31.10	-11.00
18.00	-31.10	-11.00
18.40	-25.81	-8.00
18.80	-45.41	-15.00
19.20	-61.19	-25.00
19.60	-63.95	-31.00
20.00	-58.91	-25.00
20.40	-49.76	-16.00
20.80	-49.01	-14.00
21.20	-63.02	-19.00
21.60	2.64	10.00
22.00	3.91	18.00
22.40	-9.25	-15.00
22.80	-19.20	-19.00
23.20	-41.53	-13.00
23.60	18.29	7.00
24.00	39.62	15.00
24.40	37.58	14.00
24.80	37.58	14.00
25.20	59.96	28.00
25.60	54.82	15.00
26.00	44.92	5.00
26.40	8.35	16.00
26.80	6.05	31.00
27.20	3.19	11.00
27.60	4.77	21.00
28.00	4.74	19.00
28.40	3.94	15.00
28.80	2.94	12.00
29.20	0.67	3.00
29.60	-0.18	0.00
30.00	11.54	15.00
30.40	1000.00	1000.00
30.80	1000.00	1000.00
31.20	1000.00	1000.00
31.60	1000.00	1000.00
32.00	1000.00	1000.00
32.40	1000.00	1000.00
32.80	1000.00	1000.00
33.20	1000.00	1000.00
33.60	1000.00	1000.00
34.00	1000.00	1000.00
34.40	1000.00	1000.00
34.80	1000.00	1000.00
35.20	1000.00	1000.00
35.60	1000.00	1000.00
36.00	1000.00	1000.00
36.40	1000.00	1000.00
36.80	1000.00	1000.00
37.20	1000.00	1000.00
37.60	1000.00	1000.00
38.00	1000.00	1000.00
38.40	1000.00	1000.00
38.80	1000.00	1000.00
39.20	1000.00	1000.00
39.60	1000.00	1000.00
40.00	1000.00	1000.00
40.40	1000.00	1000.00
40.80	53.89	38.00
41.20	70.09	60.00
41.60	68.50	48.00
42.00	50.42	25.00
42.40	33.24	13.00
42.80	-2.80	0.00
43.20	-42.98	-20.00
43.60	-59.18	-39.00
44.00	-62.93	-43.00
44.40	-62.39	-42.00
44.80	-61.25	-40.00
45.20	-61.56	-38.00
45.60	-51.19	-27.00
46.00	-50.53	-28.00
46.40	-46.81	-23.00
46.80	-49.25	-22.00
47.20	-52.71	-25.00
47.60	-56.66	-27.00
48.00	-55.69	-26.00
48.40	-55.69	-26.00
48.80	-57.73	-26.00
49.20	-57.73	-26.00
49.60	-59.86	-26.00
50.00	-60.77	-27.00
50.40	-61.63	-28.00
50.80	-58.46	-29.00
51.20	-51.19	-27.00
51.60	-52.59	-32.00
52.00	1000.00	1000.00
52.40	-20.28	-35.00
52.80	-7.49	-28.00
53.20	1000.00	1000.00
53.60	-1.14	-8.00
54.00	1000.00	1000.00
54.40	0.89	6.00
54.80	1.40	8.00
55.20	1.77	10.00
55.60	2.23	12.00
56.00	2.08	11.00
56.40	2.28	12.00
56.80	2.08	11.00
57.20	1.69	9.00
57.60	6.89	14.00
58.00	11.63	6.00
58.40	18.29	9.00
58.80	23.79	11.00
59.20	8.77	4.00
59.60	21.04	8.00
60.00	11.57	5.00
60.40	-5.20	-10.00
60.80	5.44	3.00
61.20	35.24	16.00
61.60	36.85	18.00
62.00	33.33	14.00
62.40	18.29	8.00
62.80	-29.97	-12.00
63.20	-40.34	-17.00
63.60	-43.77	-18.00
64.00	-47.28	-19.00
64.40	-40.85	-15.00
64.80	-43.77	-18.00
65.20	-44.75	-20.00
65.60	-49.25	-22.00
66.00	-51.61	-24.00
66.40	-48.58	-23.00
66.80	-52.17	-28.00
67.20	-62.75	-40.00
67.60	-60.97	-42.00
68.00	-58.26	-42.00
68.40	-56.97	-42.00
68.80	1000.00	1000.00
69.20	1000.00	1000.00
69.60	1000.00	1000.00
70.00	1000.00	1000.00
70.40	1000.00	1000.00
70.80	1000.00	1000.00
71.20	1000.00	1000.00
71.60	1000.00	1000.00
72.00	1000.00	1000.00
72.40	1000.00	1000.00
72.80	1000.00	1000.00
73.20	1000.00	1000.00
73.60	1000.00	1000.00
74.00	1000.00	1000.00
74.40	1000.00	1000.00
74.80	1000.00	1000.00
75.20	-28.11	-36.00
75.60	-51.61	-36.00
76.00	-53.11	-29.00
76.40	-64.19	-37.00
76.80	-66.39	-41.00
77.20	-72.49	-44.00
77.60	-74.77	-46.00
78.00	-75.77	-44.00
78.40	1000.00	1000.00
78.80	1000.00	1000.00
79.20	1000.00	1000.00
79.60	1000.00	1000.00
80.00	1000.00	1000.00
80.40	1000.00	1000.00
80.80	1000.00	1000.00
81.20	1000.00	1000.00
81.60	1000.00	1000.00
0.40	38.04	37.00
0.80	38.04	37.00
1.20	15.98	33.00
1.60	3.67	19.00
2.00	2.88	15.00
2.40	7.79	26.00
2.80	30.17	37.00
3.20	10.74	26.00
3.60	-49.74	-24.00
4.00	-50.46	-23.00
4.40	-9.32	-9.00
4.80	10.19	17.00
5.20	-29.97	-12.00
5.60	-44.75	-20.00
6.00	-38.73	-16.00
6.40	-39.02	-14.00
6.80	-27.52	-8.00
7.20	0.65	1.00
7.60	11.47	4.00
8.00	28.68	11.00
8.40	28.68	11.00
8.80	33.13	12.00
9.20	33.24	13.00
9.60	26.24	10.00
10.00	19.58	8.00
10.40	26.24	10.00
10.80	30.71	11.00
11.20	25.50	9.00
11.60	-6.24	-1.00
12.00	-5.89	-1.00
12.40	-2.64	0.00
